,auc,f1,top1,top3
1,0.8059261413825609,0.6547069371804449,0.6594111969111969,0.7302203989703989
2,0.8700359432367998,0.6160986881892386,0.6218227155727156,0.8279037966537965
3,0.9002087640139751,0.6600549449118327,0.6710666023166023,0.8753941441441441
4,0.9103348317335245,0.6831894009474796,0.6907979407979409,0.8753780566280567
5,0.9195131946071813,0.6890783333832754,0.7123552123552124,0.8753780566280567
6,0.9279397392298219,0.6954461558041273,0.7347329472329471,0.8879424066924066
7,0.9310663181194299,0.7128655338175781,0.7275498712998714,0.8942326254826254
8,0.9375589946778955,0.73038700780836,0.7356258043758043,0.8960424710424709
9,0.9424131372148977,0.7304077946885686,0.7401303088803088,0.9040942728442728
10,0.9445976319351248,0.7258374557839467,0.7463963963963964,0.9094594594594596
11,0.9462756895429238,0.7361534927921535,0.7526061776061777,0.905888030888031
12,0.949152647983966,0.732170474496713,0.7517052767052766,0.9103764478764479
13,0.9501779996758085,0.7447114128060869,0.7508043758043759,0.914864864864865
14,0.9512985156546788,0.7512194116102633,0.7534829472329474,0.9175434362934365
15,0.9537492674132485,0.7547203925858939,0.7534668597168598,0.9175273487773488
