,auc,f1,top1,top3
1,0.8357162284903582,0.703735683270931,0.7105212355212356,0.771476833976834
2,0.8960221584853751,0.6824137880113057,0.6908864221364222,0.8611003861003862
3,0.9244925220650794,0.7445950870366035,0.7436776061776061,0.9031611969111971
4,0.9336645591573992,0.7583869929831801,0.7571267696267696,0.9013915701415703
5,0.9420157557453486,0.7793421387351425,0.7714205276705277,0.9139720077220078
6,0.9507118157918544,0.7855925525481781,0.7884893822393823,0.9184684684684686
7,0.9572617891044521,0.8005471988612187,0.7867036679536679,0.929222972972973
8,0.9593963694916159,0.7932110529339983,0.798334942084942,0.9336872586872588
9,0.9608945335055438,0.7898336625795581,0.7912081724581725,0.9354890604890607
10,0.9606352447900471,0.7830130843947587,0.7920608108108109,0.9408703346203346
11,0.961902903007273,0.7831045766379161,0.7875884813384812,0.938167631917632
12,0.9619789945889167,0.7836116691694768,0.7947554697554697,0.9381756756756758
13,0.9621852858235563,0.7878704068788223,0.7992438867438868,0.9363658301158301
14,0.9641707599725275,0.7814542782239169,0.7956402831402831,0.9354649292149293
15,0.965721528537516,0.7874088820429018,0.7893420205920206,0.934572072072072
