,mean,std
Unnamed: 0,8.0,4.47213595499958
euclidean_auc,0.9226832544281226,0.03969294986127073
euclidean_f1,0.7078031624537308,0.040387188707078026
euclidean_top1,0.7201303088803089,0.04096502735242701
euclidean_top3,0.8828163878163878,0.04832227704447136
cosine_auc,0.9424513632371242,0.035209424548921876
cosine_f1,0.7696080702871938,0.03413827167333198
cosine_top1,0.7731333118833118,0.03346550332215051
cosine_top3,0.9127724152724156,0.04451394707056645
